id;name;file_attachment;file_attachment_content_type;attachment_url;mime_type
1;Savings Account;../fake-data/blob/hipster.png;image/png;Towels indexing;Rustic
2;Baby Central;../fake-data/blob/hipster.png;image/png;Squares Concrete Legacy;Generic Metal Shirt Personal Loan Account primary
3;Pre-emptive implement rei;../fake-data/blob/hipster.png;image/png;Baby Senior Designer;Tuvalu Quality Yuan Renminbi
4;Associate;../fake-data/blob/hipster.png;image/png;back-end withdrawal;withdrawal Loaf
5;Car withdrawal;../fake-data/blob/hipster.png;image/png;Product;Prairie even-keeled invoice
6;customized Sports Cheese;../fake-data/blob/hipster.png;image/png;systems;benchmark grey Rubber
7;Investment Account;../fake-data/blob/hipster.png;image/png;recontextualize Granite Plastic;Burg Shoes
8;virtual Investment Accoun;../fake-data/blob/hipster.png;image/png;Borders Auto Loan Account;Reduced Berkshire New Hampshire
9;copy Internal emulation;../fake-data/blob/hipster.png;image/png;Handcrafted Granite Chips Investor cross-media;array Mali Vision-oriented
10;Sleek Rustic;../fake-data/blob/hipster.png;image/png;Right-sized Adaptive New Leu;Salad
