id;max_budget;min_budget;estimated_from_date;estimated_thru_date;paid_job;is_fulltime;is_temporary;actual_from_date;actual_thru_date
1;3051;79420;2022-08-08;2022-08-07;true;false;true;2022-08-07;2022-08-07
2;4280;56285;2022-08-08;2022-08-07;false;false;false;2022-08-07;2022-08-08
3;72513;77186;2022-08-07;2022-08-07;false;true;true;2022-08-08;2022-08-07
4;61516;50047;2022-08-08;2022-08-08;true;false;false;2022-08-08;2022-08-07
5;15039;75246;2022-08-07;2022-08-07;true;false;true;2022-08-07;2022-08-07
6;99970;52442;2022-08-08;2022-08-07;true;true;true;2022-08-08;2022-08-07
7;9251;92275;2022-08-07;2022-08-07;true;false;true;2022-08-08;2022-08-08
8;98651;26591;2022-08-08;2022-08-08;false;true;false;2022-08-08;2022-08-07
9;77949;66299;2022-08-08;2022-08-08;true;false;false;2022-08-08;2022-08-07
10;68880;81833;2022-08-08;2022-08-07;true;false;true;2022-08-07;2022-08-08
