id;from_date;thru_date;comments
1;2022-08-07;2022-08-08;Communications Soft enable
2;2022-08-07;2022-08-07;Tuna Representative Handcrafted Metal Soap
3;2022-08-08;2022-08-07;Plains hard drive hacking
4;2022-08-07;2022-08-07;Village input Credit Card Account
5;2022-08-07;2022-08-07;methodologies
6;2022-08-08;2022-08-07;Practical Fresh Fish impactful
7;2022-08-07;2022-08-08;Nebraska monitor Future-proofed
8;2022-08-07;2022-08-07;24/365 Steel
9;2022-08-07;2022-08-08;calculate Senior
10;2022-08-08;2022-08-07;Vanuatu Planner
