id;from_date;thru_date;sequence_no
1;2022-08-08T05:20:37;2022-08-08T03:01:28;64401
2;2022-08-07T17:33:53;2022-08-08T01:11:19;86329
3;2022-08-07T09:11:30;2022-08-08T00:57:12;32602
4;2022-08-08T04:57:39;2022-08-07T23:03:22;17915
5;2022-08-07T12:17:38;2022-08-07T19:19:39;26612
6;2022-08-08T06:31:38;2022-08-07T14:29:14;50458
7;2022-08-07T11:31:49;2022-08-07T12:35:57;80723
8;2022-08-07T22:40:05;2022-08-08T00:20:21;95734
9;2022-08-07T12:29:16;2022-08-07T13:51:45;71011
10;2022-08-07T08:49:53;2022-08-07T17:07:57;42939
