id;received_date;manufactured_date;expiry_date;retest_date;container_id;batch_no;mfg_batch_no;lot_no_str;bin_number;comments;quantity_on_hand_total;available_to_promise_total;accounting_quantity_total;old_quantity_on_hand;old_available_to_promise;serial_number;soft_identifier;activation_number;activation_valid_true;unit_cost
1;2022-08-08T01:59:18;2022-08-07T13:52:01;2022-08-08T04:07:41;2022-08-07T11:16:55;static digital SCSI;interactive invoice EXE;Spring;Awesome Rubber Bacon Iowa;Course Tasty Granite Shoes Infrastructure;Personal Loan Account Monitored Markets;79212;85136;75561;15972;46661;paradigms calculating Rubber;plug-and-play;Morocco;2022-08-07T11:05:40;71997
2;2022-08-07T21:35:06;2022-08-08T02:06:09;2022-08-07T19:35:58;2022-08-07T19:22:36;Shoes Rand Loti Chicken;bluetooth neutral;Christmas Island matrix Dobra;payment;real-time;value-added Trinidad and Tobago Dollar Bermudian Dollar (customarily known as Bermuda Dollar);40064;82394;38087;46003;24358;parsing;synthesizing Gloves Oklahoma;Faroe Islands redefine;2022-08-07T18:02:32;20593
3;2022-08-08T07:30:00;2022-08-08T05:28:22;2022-08-07T22:06:58;2022-08-07T13:35:04;transmitter;COM;Toys;grey;Highway Qatar New Mexico;Garden;76518;6567;59876;57880;21060;Administrator static;radical Division Concrete;Intelligent Automotive;2022-08-08T03:07:09;25877
4;2022-08-07T14:11:00;2022-08-07T09:15:58;2022-08-08T03:21:50;2022-08-07T18:47:16;Stand-alone transmitting;Estates Home Loan Account;Consultant;neural-net iterate;Credit Card Account;incremental invoice Station;65947;58337;5638;96782;87636;process improvement invoice Baby;Zloty;Saint Kitts and Nevis;2022-08-07T12:23:55;28372
5;2022-08-07T10:11:21;2022-08-07T18:55:37;2022-08-07T22:02:50;2022-08-07T15:12:28;Falkland Islands Pound Dynamic Licensed Frozen Bacon;sticky Savings Account;Credit Card Account Unbranded Wooden Mouse Movies;Product Kansas;invoice;Mouse;70213;31226;3409;75910;55753;Parkway;Small Fresh Chips e-enable;Rubber Hat COM;2022-08-08T03:37:46;28534
6;2022-08-07T09:35:15;2022-08-07T20:01:44;2022-08-08T05:30:54;2022-08-07T10:03:28;Ford Brooks;evolve dot-com Soap;synthesize hack Lodge;Baby connect;Cotton;Montana;20031;30754;75604;65081;59857;compressing orchestration;Square Montana;Cayman Islands Dollar;2022-08-07T09:13:21;21323
7;2022-08-07T19:22:32;2022-08-07T10:20:59;2022-08-07T20:08:58;2022-08-07T22:04:49;Toys;Avon Refined Plastic Cheese Identity;parsing sky blue primary;Gloves Licensed black;Producer;Pants;24034;99001;38283;77505;97520;deposit;deposit Gorgeous Shirt;hard drive;2022-08-07T08:48:10;75058
8;2022-08-07T14:47:54;2022-08-08T02:06:05;2022-08-08T01:42:18;2022-08-07T12:09:17;Investment Account Buckinghamshire;digital Implementation circuit;hierarchy Brand;bus Pennsylvania iterate;Investment Account;payment Branding;51368;30687;80995;10081;78784;New Jersey Marketing HTTP;Chilean Peso Unidades de fomento;bandwidth Savings Account;2022-08-08T06:19:04;16511
9;2022-08-08T01:07:42;2022-08-07T09:52:30;2022-08-08T04:13:01;2022-08-07T19:43:59;orange invoice parallelism;interface utilize;Savings Account Cambridgeshire Peru;Incredible;Borders deposit;Mobility Baby;9328;35568;16026;74242;36991;Quality Zimbabwe Jewelery;auxiliary IB;Computers Coordinator Future;2022-08-07T10:11:45;56931
10;2022-08-07T08:05:52;2022-08-07T22:29:55;2022-08-07T14:59:33;2022-08-07T13:07:55;project Oregon alarm;Money Market Account;utilisation silver Borders;Cambridgeshire Home Loan Account Licensed Plastic Bacon;invoice AI;withdrawal;87893;89480;99045;58915;55216;enhance bandwidth;Licensed Granite Fish alarm;Illinois;2022-08-07T10:30:12;3240
