id;sequence_no;effective_date;quantity_on_hand_diff;available_to_promise_diff;accounting_quantity_diff;unit_cost;remarks
1;7890;2022-08-08T02:16:28;16856;91208;85363;47781;back up
2;7948;2022-08-08T06:46:36;69296;25397;39740;66612;mobile Industrial
3;56188;2022-08-07T20:24:55;34827;67697;90174;53313;capacitor
4;71101;2022-08-08T06:36:51;54225;14832;18809;48867;Front-line
5;5527;2022-08-07T22:22:36;64736;75547;79820;28832;incentivize Manat next-generation
6;20789;2022-08-08T00:39:54;31094;26347;79828;12903;Polarised Sudanese Pound Chair
7;39992;2022-08-08T07:09:10;78530;55702;75099;36324;Comoro Franc Internal Summit
8;78763;2022-08-07T19:43:30;95732;65161;54218;9074;Cambridgeshire Bedfordshire
9;17233;2022-08-08T05:35:30;82652;42790;61824;23829;Generic Granite Bacon Florida
10;59438;2022-08-07T14:16:41;20174;31269;43494;59811;Guyana deposit Pike
