id;variance_reason;atp_var;qoh_var;comments
1;Arkansas auxiliary;96363;9543;EXE New Mexico
2;Supervisor Data;58161;21005;firewall invoice payment
3;HTTP Movies;55193;89577;Division
4;synthesizing Borders B2B;25170;21367;non-volatile
5;Avon scalable;90856;70391;next-generation capacitor protocol
6;moratorium Handcrafted feed;13368;17151;frame RSS Intranet
7;pixel;14409;69638;Berkshire compressing Ergonomic
8;Soft grid-enabled;73157;65278;Regional Democratic People's Republic of Korea
9;virtual;91705;84449;payment
10;systems capacitor;74084;29787;Guam invoice Tactics
