id;message;issued_date;issued_by;quantity;cancel_quantity;from_date;thru_date;equipment_id
1;Toys Sleek;2022-08-08T06:58:38;Money Market Account;84749;46488;2022-08-08T02:07:06;2022-08-07T14:30:27;Corporate
2;grey;2022-08-08T03:44:24;Senior;34477;84725;2022-08-07T23:50:45;2022-08-07T14:19:50;HTTP
3;Steel olive Rand Loti;2022-08-07T11:08:30;Chicken alliance optimizing;79572;24395;2022-08-07T18:59:13;2022-08-07T13:35:14;optimal
4;Bacon background;2022-08-07T11:06:57;Wisconsin calculating;59401;14865;2022-08-07T14:23:00;2022-08-08T04:53:56;Maryland South Afric
5;Maryland override Court;2022-08-08T04:14:09;action-items invoice Division;85157;24243;2022-08-07T18:31:15;2022-08-08T06:28:57;Cuba Tools Assurance
6;programming Rubber Bedfordshire;2022-08-07T15:33:40;Cameroon Chicken architectures;58016;8104;2022-08-07T15:06:44;2022-08-07T15:36:52;TCP magenta
7;RAM technologies;2022-08-07T10:59:56;Macao;70993;57504;2022-08-07T21:58:12;2022-08-08T05:02:46;Director Cross-group
8;Bermudian Dollar (customarily known as Bermuda Dollar) utilisation optical;2022-08-08T01:05:22;fuchsia Tactics;45087;72317;2022-08-08T03:15:40;2022-08-07T11:31:12;digital system
9;Avon protocol Cotton;2022-08-08T07:19:31;Tasty Frozen Hat Central;93649;39629;2022-08-08T07:17:38;2022-08-07T09:03:28;circuit
10;complexity scalable;2022-08-07T14:47:00;Denmark;81640;51030;2022-08-07T15:48:55;2022-08-07T10:07:48;Personal Loan Accoun
