id;duration;age;gender;experience_months;experience_years;qualification_str;no_of_resource;required_on_date
1;70219;819;OTHER;51904;28903;Manager Money Market Account Licensed Wooden Table;11598;2022-08-05
2;43260;21610;OTHER;15449;48742;scalable CSS;14627;2022-08-05
3;16224;207;OTHER;38540;82008;multi-byte;66931;2022-08-04
4;44353;48297;FEMALE;87586;37210;Cotton;36870;2022-08-05
5;71593;72358;MALE;87404;55959;Dynamic;22286;2022-08-04
6;67452;58386;FEMALE;12775;24630;deliverables quantify;96342;2022-08-05
7;21215;55402;MALE;11027;40827;Borders;39338;2022-08-05
8;71275;92556;FEMALE;53055;75941;Handmade Concrete Shoes synergies Mills;61083;2022-08-04
9;55480;63139;FEMALE;60158;55504;Bermudian Dollar (customarily known as Bermuda Dollar);20474;2022-08-05
10;54105;53180;MALE;11656;48497;Congolese Franc;60837;2022-08-05
