id;creation_date;quantity;expiration_date;retest_date
1;2022-08-04T20:37:06;77160;2022-08-04T18:17:18;2022-08-04T20:33:15
2;2022-08-05T10:30:42;2488;2022-08-05T08:37:45;2022-08-04T15:10:47
3;2022-08-04T17:40:31;80986;2022-08-05T08:50:51;2022-08-04T22:06:48
4;2022-08-04T22:11:41;78946;2022-08-05T09:35:27;2022-08-05T01:58:48
5;2022-08-05T10:37:46;9070;2022-08-05T11:17:35;2022-08-05T05:06:21
6;2022-08-05T02:49:09;73481;2022-08-04T17:49:42;2022-08-04T17:45:31
7;2022-08-04T19:47:27;51565;2022-08-05T05:07:04;2022-08-05T00:47:31
8;2022-08-05T02:50:39;93116;2022-08-05T05:58:25;2022-08-05T05:30:24
9;2022-08-05T14:31:11;15560;2022-08-04T15:27:00;2022-08-04T23:56:23
10;2022-08-05T12:29:56;61434;2022-08-05T03:37:28;2022-08-05T00:44:30
