id;sequence_no;quantity;cancel_quantity;selected_amount;unit_price;unit_list_price;cgst;igst;sgst;cgst_percentage;igst_percentage;sgst_percentage;total_price;is_modified_price;estimated_ship_date;estimated_delivery_date;ship_before_date;ship_after_date
1;12024;32637;38341;54520;72110;24236;83101;60434;64013;33900;9169;46436;25386;true;2022-08-08T04:45:22;2022-08-07T16:14:16;2022-08-08T04:30:26;2022-08-07T22:01:18
2;5079;55993;15279;60658;33243;12433;77503;86927;39752;73868;77797;52411;16606;false;2022-08-07T12:58:35;2022-08-07T08:30:34;2022-08-08T01:58:41;2022-08-07T14:24:34
3;956;11085;21046;85412;68168;32027;93058;85435;89234;90246;54729;55647;26468;false;2022-08-07T21:37:10;2022-08-07T18:24:40;2022-08-07T10:01:51;2022-08-07T13:37:54
4;95477;56129;8432;80266;1398;33715;63309;66694;51859;36754;34783;42284;59747;false;2022-08-08T03:45:10;2022-08-07T23:46:54;2022-08-07T20:19:26;2022-08-08T03:09:26
5;1103;59291;99124;28401;49008;81218;60229;44582;17114;8696;2866;88198;17472;true;2022-08-07T14:36:49;2022-08-07T23:48:54;2022-08-08T07:25:50;2022-08-07T10:42:41
6;20993;86369;99891;23187;92470;42968;95192;83956;38594;29919;74828;89866;66273;true;2022-08-07T17:46:05;2022-08-07T10:05:24;2022-08-07T15:21:31;2022-08-07T14:01:37
7;20038;97221;78978;41311;52586;30705;76189;76143;44408;34715;64063;26479;70472;false;2022-08-08T00:15:42;2022-08-08T05:14:48;2022-08-07T17:26:40;2022-08-07T08:01:24
8;6231;21266;84753;38698;57933;30251;41952;35583;33792;11930;42825;81047;71239;true;2022-08-07T12:25:06;2022-08-07T19:30:17;2022-08-07T16:30:28;2022-08-08T07:27:44
9;84358;39444;15456;92777;7489;26290;55989;99624;71259;91012;61708;85172;52819;true;2022-08-07T21:20:19;2022-08-07T21:04:46;2022-08-07T19:57:42;2022-08-07T14:12:51
10;9141;79042;50875;51383;76639;80748;45154;48714;86694;42862;96193;4444;60125;true;2022-08-08T06:55:53;2022-08-07T16:25:05;2022-08-08T01:23:33;2022-08-07T18:14:10
