id;sequence_no;name;detail;term_value;term_days;text_value
1;85947;Versatile Savings Account;Tools;3282;2877;Stream
2;80753;drive;Engineer;84933;10163;Synergized
3;496;withdrawal XML toolset;alarm back up Executive;93401;26661;Glens payment
4;89689;Awesome Concrete Hat Alley;sky blue;43580;47415;Wisconsin Meadow architecture
5;75020;Gorgeous Specialist;invoice SAS;92385;62365;fuchsia
6;42908;Bedfordshire Shoes Mouse;Garden access;95454;60321;Checking Account
7;62080;customized capacitor;navigating intranet Divide;32057;74392;Intelligent
8;82389;scalable online Garden;South Carolina solution Car;40506;88815;engineer Soap
9;98730;Lane Refined Granite Cheese;Canadian Dollar Engineer Yemeni Rial;87393;10606;parsing
10;58895;Swaziland quantifying;Ergonomic Steel Fish Ohio Bedfordshire;20148;21637;Rustic Wooden Bike Computer bypassing
