id;name;auth_url;release_url;refund_url
1;Texas Security;implement Denar compress;override Small Concrete;mindshare
2;parsing encoding;New Hampshire Movies;Cotton;clicks-and-mortar access
3;Licensed Fresh Hat Wooden;withdrawal Crest;Algeria Licensed Granite Tuna China;Avon Springs
4;Direct Phased Visionary;PCI Romania;Saint Kitts and Nevis driver;connecting
5;index Engineer bluetooth;Money Market Account expedite Investment Account;Cape maximize green;virtual olive
6;Oklahoma;protocol;AI XSS Advanced;Money Market Account Avon
7;lavender Generic Steel Ba;technologies Fantastic Concrete Salad;Kids Unbranded;Shoal
8;evolve Villages;Brand;local deploy Steel;Money Market Account strategize
9;Pines;Intelligent Fresh Chips generate;24/365;quantifying Customer
10;Assistant TCP;Seamless e-services;PCI back-end;bypassing Jewelery
