id;amount;reference_number;gateway_message
1;31725;Multi-channelled Salad Aw;Gorgeous Steel Chair
2;37954;input Hat Fresh;Kentucky
3;49095;integrated teal USB;Health Cambridgeshire action-items
4;98374;Customer quantify Compute;JBOD SMS one-to-one
5;32335;Intelligent RSS;Rubber copying
6;4027;FTP;quantifying
7;52173;Mali deposit;Zambian Kwacha Wyoming
8;90891;Regional infrastructures;empowering connect
9;31980;optimal Fantastic Wooden ;Integration Berkshire transmitting
10;97303;Corporate;generate
