id;name;description;from_date;thru_date
1;Garden;Technician Kyrgyz Republic transmit;2022-08-04T22:40:35;2022-08-05T14:40:17
2;seamless Roads back-end;deploy TCP Pants;2022-08-04T23:08:33;2022-08-05T01:03:28
3;Avon Legacy;Front-line withdrawal Applications;2022-08-05T13:40:43;2022-08-04T15:37:26
4;Steel digital bricks-and-;Games;2022-08-05T14:46:32;2022-08-04T19:40:14
5;Central Bike Burundi;Cotton;2022-08-04T16:10:45;2022-08-04T23:09:37
6;zero defect;Applications Swedish Krona Shoals;2022-08-05T03:59:39;2022-08-05T12:43:21
7;Administrator Toys Malta;lavender Interactions;2022-08-05T14:33:26;2022-08-05T07:03:41
8;Hong Kong Dollar;Soft Chair;2022-08-05T07:55:21;2022-08-04T23:50:41
9;extensible intangible;Communications Response Ergonomic;2022-08-04T20:16:55;2022-08-04T21:26:32
10;solution Ridges multi-sta;Shirt Dynamic;2022-08-04T23:21:17;2022-08-04T21:59:53
