id;from_date;thru_date;sequence_no
1;2022-08-05T08:00:46;2022-08-05T08:08:42;7300
2;2022-08-04T15:37:42;2022-08-05T06:59:35;85091
3;2022-08-04T23:09:44;2022-08-05T13:36:21;32758
4;2022-08-05T11:10:02;2022-08-04T19:05:38;57785
5;2022-08-04T22:23:03;2022-08-05T13:05:55;45955
6;2022-08-05T07:10:05;2022-08-05T14:51:35;13692
7;2022-08-04T23:12:44;2022-08-05T13:37:26;9475
8;2022-08-05T02:56:00;2022-08-05T04:52:38;40353
9;2022-08-05T11:48:11;2022-08-05T04:26:41;28380
10;2022-08-05T03:35:24;2022-08-05T06:54:19;51152
