id;from_date;thru_date;price;cgst;igst;sgst;total_price
1;2022-08-04T19:00:54;2022-08-05T09:14:54;56123;78243;65816;95213;98207
2;2022-08-04T23:55:13;2022-08-04T15:36:46;25113;91885;55011;34969;21485
3;2022-08-04T22:31:11;2022-08-05T04:34:52;97779;48459;619;15838;71314
4;2022-08-05T08:53:09;2022-08-05T01:22:00;58422;43054;88906;9023;95393
5;2022-08-05T12:53:24;2022-08-05T06:26:30;97299;92882;3624;2137;43558
6;2022-08-05T07:09:35;2022-08-04T16:45:45;84257;58274;99738;22144;65239
7;2022-08-04T15:54:37;2022-08-05T04:18:11;92999;55977;59356;2400;58231
8;2022-08-05T14:42:35;2022-08-05T12:08:15;73987;54560;47481;51042;55191
9;2022-08-05T00:42:54;2022-08-04T22:56:22;13003;51547;33210;96128;66776
10;2022-08-04T16:32:43;2022-08-04T17:29:56;16606;66347;44805;61325;88295
