id;name;description
1;Refined Corporate;architectures matrices circuit
2;bandwidth;Berkshire Music Bike
3;visualize;program
4;circuit Granite composite;policy withdrawal Glen
5;Manager payment;Clothing Practical payment
6;olive;Fantastic Refined Frozen Mouse Pants
7;Directives Auto Loan Account maroon;Representative
8;Zloty Accounts value-added;Multi-layered Front-line sensor
9;Mexican Peso Mexican Unidad de Inversion (UDI) payment;Electronics alarm
10;1080p redundant Configuration;Georgia Home Loan Account Central
