id;from_date;thru_date;sequence_no;product_store_id;facility_id
1;2022-08-05T14:25:03;2022-08-05T04:23:44;85915;1;1
2;2022-08-05T00:49:05;2022-08-04T22:06:56;21984;2;2
3;2022-08-05T00:46:18;2022-08-05T14:44:52;15104;3;3
4;2022-08-05T04:07:27;2022-08-05T14:44:35;91140;4;4
5;2022-08-05T11:10:09;2022-08-04T19:17:43;55935;5;5
6;2022-08-04T16:29:16;2022-08-04T18:34:05;43708;6;6
7;2022-08-05T00:24:48;2022-08-05T03:30:05;6218;7;7
8;2022-08-05T12:31:02;2022-08-05T07:04:54;24576;8;8
9;2022-08-04T19:46:02;2022-08-05T00:44:06;41410;9;9
10;2022-08-05T13:00:37;2022-08-04T19:06:25;2161;10;10
