id;from_date;thru_date;sequence_no;product_store_id;product_id
1;2022-08-07T11:24:05;2022-08-07T22:33:23;83914;1;1
2;2022-08-07T23:52:18;2022-08-07T18:01:23;11915;2;2
3;2022-08-07T09:33:20;2022-08-08T06:03:43;6495;3;3
4;2022-08-08T03:41:23;2022-08-07T22:25:52;23963;4;4
5;2022-08-07T21:52:58;2022-08-08T07:51:20;65073;5;5
6;2022-08-07T17:43:07;2022-08-08T05:35:28;53684;6;6
7;2022-08-07T08:51:35;2022-08-07T17:11:10;60276;7;7
8;2022-08-08T02:14:58;2022-08-08T05:20:06;74829;8;8
9;2022-08-07T15:38:06;2022-08-07T08:34:12;10245;9;9
10;2022-08-08T02:32:29;2022-08-07T08:35:09;53075;10;10
