id;name;from_time;to_time;working_hrs;monthly_paid_leaves
1;Argentine Peso Direct;2022-08-08T01:40:13;2022-08-07T19:06:30;90204;84611
2;Investment Account Naira;2022-08-07T09:56:17;2022-08-07T23:13:56;93478;13272
3;Gorgeous Plastic Tuna bluetooth Quality-focused;2022-08-07T20:02:41;2022-08-08T01:37:25;26053;36299
4;ivory Table;2022-08-07T23:31:02;2022-08-08T08:32:15;20057;24019
5;Rustic Steel Tuna Auto Loan Account;2022-08-08T00:30:00;2022-08-08T08:58:20;84992;83455
6;channels auxiliary;2022-08-08T09:05:28;2022-08-08T09:25:05;41842;64976
7;yellow;2022-08-08T09:11:45;2022-08-08T01:23:55;33379;61062
8;Markets South Carolina;2022-08-08T01:29:28;2022-08-07T11:54:17;28276;44627
9;Locks Computer;2022-08-08T04:54:58;2022-08-07T11:15:36;77652;97100
10;bandwidth;2022-08-07T13:59:33;2022-08-08T00:13:28;473;41344
