id;name;description;term_detail;term_value;term_days;text_value
1;Plastic Buckinghamshire;bluetooth;virtual discrete;12050;91184;Gorgeous Soft Ball time-frame
2;invoice;discrete Regional Internal;Profound primary;46040;48429;vortals Azerbaijanian Manat Reunion
3;Rustic override ivory;digital;user-centric Bike;30777;45575;Books red
4;Associate;wireless Assistant;revolutionary Credit Card Account;64084;91619;Rustic Cotton Towels
5;alarm Baby calculating;front-end Markets system;Investment Account Small;20279;33606;didactic
6;copying;Berkshire Baht;Wooden;8936;38346;Gibraltar Pound green
7;Vermont;interactive hacking;Auto Loan Account Washington coherent;80554;62510;Senior
8;ADP Factors;methodologies;Devolved;2350;35395;Table channels Streamlined
9;1080p microchip;copying eco-centric FTP;Investor;59955;85669;ivory redundant
10;CFA Franc BEAC Car Web;Computer Customer-focused circuit;infomediaries lime;5787;7603;user-centric orchid Secured
