id;name;description;sequence_no;abbreviation
1;French Guiana;Ball;19663;Future
2;Chair;Granite Uzbekistan Sum reintermediate;42217;scalable F
3;withdrawal calculating;Oklahoma Handmade Steel Sausages yellow;59616;withdrawal
4;purple;reboot;45850;bypass Tow
5;firewall Robust holistic;Beauty;14677;Practical 
6;User-centric Clothing Berkshire;navigating;80633;multimedia
7;open-source Soap;Home;88262;Books red
8;pixel Practical Checking Account;Rustic Sleek;94414;Exclusive 
9;SMTP real-time;blue;25914;New Leu
10;SCSI bottom-line;deploy;73570;B2B
