id;from_date;thru_date;user_group_id;user_id
1;2022-08-07T13:57:15;2022-08-08T06:04:27;1;2
2;2022-08-07T14:54:04;2022-08-07T16:45:46;2;2
3;2022-08-07T18:38:40;2022-08-07T19:21:14;3;2
4;2022-08-07T23:44:04;2022-08-07T20:37:21;4;1
5;2022-08-07T15:26:35;2022-08-07T10:12:20;5;2
6;2022-08-07T19:22:45;2022-08-07T22:21:51;6;2
7;2022-08-08T00:19:35;2022-08-08T02:15:36;7;2
8;2022-08-07T23:59:46;2022-08-07T12:16:51;8;2
9;2022-08-07T14:56:04;2022-08-07T09:54:28;9;2
10;2022-08-07T17:45:44;2022-08-08T00:41:18;10;2
