id;name;description;code;batch_size;min_yield_range;max_yield_range;percent_complete;validation_type;shelf_life;output_qty
1;Surinam Dollar transitional Specialist;Intranet Borders;Quality;10876;25548;57875;47602;Rhode Island Gibraltar Gr;77244;21153
2;Officer;content;ROI red Unbranded;12931;31410;42058;8948;Home;15984;17131
3;Human monitoring Mouse;revolutionize Djibouti Franc;Sports synthesize recontextualize;14765;84096;35402;12352;calculate Cambridgeshire ;30644;59967
4;port knowledge base;cyan syndicate;index;58964;7745;57621;9688;Avon;16401;60129
5;Aruban Guilder;world-class;Decentralized;98038;92954;24135;69012;Sports;56517;9271
6;Buckinghamshire pixel;parse grow;Cote d'Ivoire PCI;17552;51170;66667;90204;SQL national;40209;71016
7;tan Infrastructure;Indiana incremental;Electronics payment Credit Card Account;74282;73140;10081;46092;Manors;8181;32990
8;payment;Bedfordshire;Infrastructure;18338;97390;85074;63047;Idaho;56203;85481
9;Dynamic;Rubber bleeding-edge;Investment Account lime deposit;42536;30661;69652;44816;Personal Loan Account Sou;61970;75807
10;Mobility;Books haptic;Washington;93845;94959;17864;39733;zero tolerance Berkshire;34344;93708
