id;sequence_no;from_date;thru_date
1;52387;2022-08-04T16:21:44;2022-08-05T01:13:41
2;59464;2022-08-04T15:52:55;2022-08-05T02:22:25
3;4986;2022-08-05T14:59:27;2022-08-05T06:16:17
4;82583;2022-08-04T22:22:17;2022-08-04T20:40:31
5;71467;2022-08-05T02:28:56;2022-08-05T10:28:29
6;44690;2022-08-04T16:08:53;2022-08-05T01:25:38
7;99310;2022-08-05T14:42:47;2022-08-05T07:07:30
8;4901;2022-08-04T15:54:50;2022-08-05T13:32:45
9;8390;2022-08-05T09:19:15;2022-08-05T01:38:57
10;67262;2022-08-05T11:29:33;2022-08-04T20:39:28
